roland,safranek,20,5,1936,48000
bohdan,cervinka,7,8,1958,56000
rajmund,vojtech,25,1,1997,19000
zikmund,kovarik,5,8,1949,36000
veroslav,adam,6,1,1964,83000
ludvik,hejda,23,2,1942,39000
sava,smejkal,1,4,1949,14000
daniel,varga,23,5,1990,77000
emanuel,spurny,9,9,1999,45000
radim,vlach,28,7,1986,43000
albert,vondra,21,5,1978,98000
dzamil,herman,16,11,1983,70000
teodor,sterba,29,10,1937,64000
hyacint,tomes,25,9,1990,40000
herman,prikryl,17,3,1974,59000
poncian,neumann,29,6,1930,43000
dzamil,hasek,1,1,1962,70000
oliver,hladik,19,9,1999,74000
nicolas,pavlik,14,9,1950,82000
julius,zelinka,1,7,1980,70000
matous,martinek,23,10,1941,80000
petr,melichar,16,4,1936,45000
sava,matous,23,1,1960,23000
bohdan,cermak,15,8,1976,7000
leos,sokol,29,5,1989,18000
evzen,dolejs,20,1,1937,27000
vlastislav,nemecek,15,5,1974,38000
herman,skala,3,9,1945,13000
ludvik,koutny,26,8,1971,87000
adam,matuska,3,2,1991,11000
ondrej,homola,22,2,1997,65000
leopold,prokes,13,1,1978,74000
lubor,tomecek,10,1,1945,37000
vavrinec,kohout,14,2,1996,96000
sebastian,kocian,17,12,2004,98000
kazimir,kaplan,15,1,1979,44000
mikulas,valenta,5,8,1933,18000
tonda,cisar,17,3,1948,90000
vojtech,cibulka,5,5,1971,53000
honza,brejcha,13,3,2003,7000
rajmund,skala,13,9,1937,32000
slavoj,wolf,25,10,1945,20000
inocenc,kohout,28,1,1988,69000
ferdinand,skalicky,9,10,1951,63000
artur,krenek,17,10,1937,57000
ivo,polak,12,8,1964,53000
slavomir,hrncir,5,3,1951,39000
hubert,hornak,17,10,1969,53000
daniel,machac,30,8,1959,82000
anastaz,sedivy,19,3,1978,38000
sebastian,dudek,16,8,1951,39000
vavrinec,kohoutek,21,4,1977,44000
dionysius,koudelka,2,6,1985,70000
robin,sima,6,7,1981,40000
oleg,zajicek,3,12,1948,25000
roman,richter,30,3,1969,39000
ferdinand,kubik,26,12,1988,25000
ambroz,dusek,17,8,1999,63000
gregor,tomanek,1,11,1992,68000
honza,dokoupil,19,7,1955,1000
miroslav,nemecek,19,1,1986,3000
jiri,spacek,22,4,1984,38000
ales,spacil,31,6,1935,23000
ivo,patek,28,1,1933,39000
kazimir,pechacek,3,10,1976,48000
hubert,karasek,15,9,1941,93000
zbynek,bauer,10,1,1982,67000
bohuslav,kafka,7,5,1986,54000
venceslav,holik,1,11,1967,98000
dominik,dostal,15,11,1948,57000
otmar,provaznik,20,7,1984,88000
tibor,barta,12,11,1981,44000
hubert,rak,7,12,1970,39000
robert,komarek,15,12,1968,73000
borek,kubat,20,1,2002,63000
radoslav,pokorny,24,8,1977,97000
radoslav,suk,27,6,1934,33000
borek,nedved,25,7,1955,70000
alexej,hladik,8,4,1948,80000
venceslav,zahradnik,24,1,1970,69000
gregor,schmidt,11,9,2004,37000
ivo,richter,23,12,1969,45000
jaroslav,bednarik,12,9,1942,38000
ludvik,holec,12,7,1991,92000
radim,brychta,29,10,1946,25000
tonda,krizek,14,7,1960,20000
david,zika,10,1,1962,70000
hyacint,gabriel,22,9,1936,87000
venceslav,jahoda,30,6,1962,32000
kristian,vanek,9,11,1949,70000
silvestr,mikula,8,7,1968,66000
honza,janicek,17,6,1943,32000
zdenek,burda,30,6,2004,40000
ludvik,chmelar,6,4,1980,64000
ferdinand,sindler,12,6,1946,8000
hyacint,bittner,1,3,1982,30000
hubert,sivak,20,12,1999,49000
richard,dostal,22,11,1930,44000
oleg,orsag,7,7,1963,24000
patrik,trnka,19,2,1961,39000
marek,tuma,4,1,1955,19000
andrej,simecek,26,5,1950,1000
evzen,houska,30,12,1937,21000
vavrinec,benes,10,11,2003,92000
ctirad,tomasek,9,3,1995,44000
bartolomej,dohnal,18,3,1941,74000
david,broz,1,6,1975,57000
blahoslav,teply,3,1,1999,82000
